GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0021800563,2,12,0,1,8:16 PM,12:00,,,,,
0021800563,4,10,0,1,8:16 PM,12:00,Jump Ball Aldridge vs. Ibaka: Tip to Siakam,,,,
0021800563,7,1,6,1,8:16 PM,11:47,,,Leonard 1' Driving Layup (2 PTS),2 - 0,-2
0021800563,8,6,2,1,8:17 PM,11:47,White S.FOUL (P1.T1) (P.Fraher),,,,
0021800563,10,3,10,1,8:17 PM,11:47,,,MISS Leonard Free Throw 1 of 1,,
0021800563,11,4,0,1,8:17 PM,11:45,DeRozan REBOUND (Off:0 Def:1),,,,
0021800563,12,2,79,1,8:17 PM,11:29,MISS DeRozan 15' Pullup Jump Shot,,,,
0021800563,13,4,0,1,8:17 PM,11:25,,,Siakam REBOUND (Off:0 Def:1),,
0021800563,14,2,75,1,8:17 PM,11:21,,,MISS Siakam 2' Driving Finger Roll Layup,,
0021800563,15,4,0,1,8:17 PM,11:19,DeRozan REBOUND (Off:0 Def:2),,,,
0021800563,16,2,6,1,8:17 PM,11:12,MISS DeRozan 2' Driving Layup,,Green BLOCK (1 BLK),,
0021800563,17,4,0,1,8:17 PM,11:10,DeRozan REBOUND (Off:1 Def:2),,,,
0021800563,18,1,1,1,8:18 PM,11:05,Forbes 25' 3PT Jump Shot (3 PTS) (White 1 AST),,,2 - 3,1
0021800563,20,2,1,1,8:18 PM,10:48,,,MISS Ibaka 25' 3PT Jump Shot,,
0021800563,21,4,0,1,8:18 PM,10:45,Aldridge REBOUND (Off:0 Def:1),,,,
0021800563,22,6,2,1,8:18 PM,10:35,,,Ibaka S.FOUL (P1.T1) (P.Fraher),,
0021800563,25,3,11,1,8:18 PM,10:35,DeRozan Free Throw 1 of 2 (1 PTS),,,2 - 4,2
0021800563,26,3,12,1,8:19 PM,10:35,DeRozan Free Throw 2 of 2 (2 PTS),,,2 - 5,3
0021800563,27,2,1,1,8:19 PM,10:24,,,MISS VanVleet 26' 3PT Jump Shot,,
0021800563,28,4,0,1,8:19 PM,10:20,DeRozan REBOUND (Off:1 Def:3),,,,
0021800563,29,1,79,1,8:19 PM,10:12,Aldridge 11' Pullup Jump Shot (2 PTS) (DeRozan 1 AST),,,2 - 7,5
0021800563,31,1,79,1,8:19 PM,9:59,,,Leonard 21' Pullup Jump Shot (4 PTS),4 - 7,3
0021800563,32,1,79,1,8:20 PM,9:39,Gay 15' Pullup Jump Shot (2 PTS) (DeRozan 2 AST),,,4 - 9,5
0021800563,34,2,1,1,8:20 PM,9:25,,,MISS Green 27' 3PT Jump Shot,,
0021800563,35,4,0,1,8:20 PM,9:22,,,Ibaka REBOUND (Off:1 Def:0),,
0021800563,36,6,2,1,8:20 PM,9:22,DeRozan S.FOUL (P1.T2) (M.Smith),,,,
0021800563,38,3,11,1,8:20 PM,9:22,,,Ibaka Free Throw 1 of 2 (1 PTS),5 - 9,4
0021800563,39,3,12,1,8:21 PM,9:22,,,MISS Ibaka Free Throw 2 of 2,,
0021800563,40,4,0,1,8:21 PM,9:19,DeRozan REBOUND (Off:1 Def:4),,,,
