eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
0,1,2747,2030,2403,201167,1497,2210,1495,201971,1938,2225
28,1,2747,2030,2403,201167,1497,2210,1495,201168,1938,2225
81,1,2747,2030,2403,201167,1497,2210,1495,201168,202390,2225
82,1,2747,2030,2403,201167,1497,2210,2588,201168,202390,2225
83,1,2747,2030,2403,201951,1497,2210,2588,201168,202390,2225
84,1,2747,1733,2403,201951,1497,2210,2588,201168,202390,2225
96,1,2747,1733,2365,201951,1497,2210,2588,201168,202390,2225
105,1,2747,1733,2365,201951,201814,2210,2588,201168,202390,2225
106,1,2747,1733,2365,201951,201814,2137,2588,201168,202390,2225
107,1,2747,1733,2365,201951,201814,2137,2588,201168,202390,200809
113,2,2747,201951,1733,2365,201814,1938,201168,202390,2588,200809
120,2,2747,201951,1733,2365,201814,1938,201971,202390,2588,200809
130,2,201167,201951,1733,2365,201814,1938,201971,202390,2588,200809
158,2,201167,201951,1733,2365,201814,2210,201971,202390,2588,200809
159,2,201167,201951,1733,2365,201814,2210,201971,202390,2588,2225
167,2,201167,201951,1733,2365,1497,2210,201971,202390,2588,2225
172,2,201167,201951,1733,2403,1497,2210,201971,202390,2588,2225
184,2,201167,201951,1733,2403,1497,2210,201971,202390,1495,2225
201,2,201167,201951,1733,2403,1497,2210,201971,1938,1495,2225
202,2,201167,201951,1733,2403,1497,2210,686,1938,1495,2225
203,2,201167,2747,1733,2403,1497,2210,686,1938,1495,2225
212,2,201167,2747,2365,2403,1497,2210,686,1938,1495,2225
239,3,2747,2030,2403,201167,1497,2210,1495,201971,1938,2225
291,3,2747,2030,2403,201167,1497,2210,1495,2588,1938,2225
309,3,2747,1733,2403,201167,1497,2210,1495,2588,1938,2225
310,3,2747,1733,2403,201951,1497,2210,1495,2588,1938,2225
311,3,2747,1733,2403,201951,1497,2210,1495,2588,202390,2225
320,3,2747,1733,2403,201951,1497,2210,201168,2588,202390,2225
327,3,2747,1733,2365,201951,1497,2210,201168,2588,202390,2225
348,3,2747,1733,2365,201951,201167,2210,201168,2588,202390,2225
356,4,2747,201167,201951,1733,2365,1938,201168,202390,2588,200809
386,4,1497,201167,201951,1733,2365,1938,201168,202390,2588,200809
399,4,1497,201167,201951,1733,2403,1938,201168,202390,2588,200809
408,4,1497,201167,201951,1733,2403,1938,201168,202390,2588,2225
409,4,1497,201167,201951,1733,2403,2210,201168,202390,2588,2225
416,4,1497,201167,201951,2747,2403,2210,201168,202390,2588,2225
429,4,1497,201167,201951,2747,2403,2210,1495,202390,2588,2225
430,4,1497,201167,201951,2747,2403,2210,1495,1938,2588,2225
454,4,1497,201167,201951,2747,2403,2210,1495,1938,202390,2225
