eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,away.6
0,1,202345,2743,101130,201627,101114,1740,101154,201580,202348,202322,NA
66,1,200761,2743,101130,201627,101114,1740,101154,201580,202348,202322,NA
82,1,200761,2743,101130,201627,101114,1740,101154,201580,201156,202322,NA
83,1,200761,2743,101130,200770,101114,1740,101154,201580,201156,202322,NA
97,1,200761,200749,101130,200770,101114,1740,101154,201580,201156,202322,NA
98,1,200761,200749,101130,200770,101114,202698,101154,201580,201156,202322,NA
113,1,200761,200749,101130,200770,101114,202698,101154,201580,201156,202714,NA
114,1,200761,201627,101130,200770,101114,202698,101154,201580,201156,202714,NA
116,2,2246,200761,200770,200749,202705,101154,101142,201156,202698,202714,NA
129,2,2246,202345,200770,200749,202705,101154,101142,201156,202698,202714,NA
130,2,2246,202345,200770,200749,202705,202344,101142,201156,202698,202714,NA
140,2,2246,202345,202178,200749,202705,202344,101142,201156,202698,202714,NA
158,2,2246,202345,202178,200749,202705,202344,201580,201156,202698,202714,NA
159,2,2246,202345,202178,2743,202705,202344,201580,201156,202698,202714,NA
160,2,2246,202345,202178,2743,101114,202344,201580,201156,202698,202714,NA
170,2,2246,202345,202178,2743,101114,202344,201580,201156,202698,202322,NA
171,2,2246,202345,202178,2743,101114,202344,201580,202348,202698,202322,NA
172,2,101130,202345,202178,2743,101114,202344,201580,202348,202698,202322,NA
190,2,101130,202345,202178,2743,101114,101154,201580,202348,202698,202322,NA
212,2,101130,202345,202178,2743,101114,101154,201580,202348,1740,202322,NA
224,2,2246,202345,202178,2743,101114,101154,201580,202348,1740,202322,NA
232,2,2246,202345,202178,2743,101114,101154,201580,202348,1740,201156,NA
233,2,2246,202345,201627,2743,101114,101154,201580,202348,1740,201156,NA
243,2,2246,202345,201627,2743,101114,101154,201580,202714,1740,201156,NA
244,2,2246,202345,201627,2743,101114,101154,201580,202714,202698,201156,NA
245,2,2246,202345,201627,200770,101114,101154,201580,202714,202698,201156,NA
264,3,202345,2743,101130,201627,101114,1740,101154,201580,202348,202322,NA
317,3,202345,2743,2246,201627,101114,1740,101154,201580,202348,202322,NA
329,3,202345,2743,2246,202178,101114,1740,101154,201580,202348,202322,NA
330,3,202345,2743,2246,202178,101114,1740,101154,101142,202348,202322,NA
340,3,202345,2743,2246,202178,101114,1740,101154,101142,201156,202322,NA
368,3,202345,2743,2246,202178,200761,1740,101154,101142,202348,202322,NA
369,3,202705,2743,2246,202178,200761,1740,101154,101142,202348,202322,NA
370,3,202705,2743,2246,202178,200761,1740,202344,101142,202348,202322,NA
381,3,202705,200749,2246,202178,200761,1740,202344,101142,202348,202322,NA
390,3,202705,200749,2246,202178,200761,202698,202344,101142,202348,202322,NA
397,3,202705,200749,2246,202178,200761,1740,2427,101142,202348,202322,NA
403,3,202705,200749,202345,202178,200761,1740,2427,101142,202348,202322,NA
404,4,202345,101114,200761,200749,202705,201580,202698,202714,202344,2427,202178
417,4,202345,101114,200761,2743,202705,201580,202698,202714,202344,2427,202178
418,4,202345,101114,200761,2743,101130,201580,202698,202714,202344,2427,202178
434,4,202345,101114,200761,2743,101130,201580,202698,202714,101154,2427,202178
455,4,202345,101114,200761,2743,101130,201580,202698,202714,101154,201156,202178
457,4,202345,101114,200761,2743,101130,201580,202698,202322,101154,201156,202178
481,4,202345,101114,200761,2743,101130,101142,202698,202322,101154,201156,202178
515,4,202345,101114,200761,2743,101130,101142,202348,202322,101154,201156,202178
523,4,202345,101114,200761,2743,201627,101142,202348,202322,101154,201156,202178
534,4,202178,101114,200761,2743,201627,101142,202348,202322,101154,201156,202178
546,4,202178,101114,200761,2743,201627,1740,202348,202322,101154,201156,202178
547,4,202178,101114,200761,2743,2052,1740,202348,202322,101154,201156,202178
553,4,202178,202705,200761,2743,2052,1740,202348,202322,101154,201156,202178
561,1,200761,201627,2246,200770,101114,202698,101154,201580,201156,202714,NA
564,1,200761,201627,2246,200770,101114,202698,101154,101142,201156,202714,NA
568,4,202178,202705,101114,2743,2052,1740,202348,202322,101154,201156,202178
569,4,202178,202705,101114,2743,2052,1740,202348,202714,101154,201156,202178
