EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,AWAY_6
0,1,2546,204001,201149,201584,201565,203496,101141,203954,203917,204456,NA
39,1,2546,204001,201149,201584,201565,203496,101141,203954,201945,204456,NA
48,1,2546,204001,203124,201584,201565,203496,101141,203954,201945,204456,NA
49,1,2546,204001,203124,201584,201565,203967,101141,203954,201945,204456,NA
56,1,2546,204001,203124,203200,201565,203967,101141,203954,201945,204456,NA
68,1,2546,204001,203124,203200,201565,203967,101141,203457,201945,204456,NA
69,1,2546,1627851,203124,203200,201565,203967,101141,203457,201945,204456,NA
70,1,2546,1627851,203124,203200,201565,203967,203496,203457,201945,204456,NA
89,1,2546,1627851,203124,203200,201565,203967,203496,203457,201945,200771,NA
101,1,2546,1627851,203124,203200,201565,203967,1627789,203457,201945,200771,NA
120,2,204001,203124,203200,1627851,201943,203496,101141,203954,203917,204456,NA
136,2,204001,201149,203200,1627851,201943,203496,101141,203954,203917,204456,NA
144,2,204001,201149,201584,1627851,201943,203496,101141,203954,203917,204456,NA
146,2,204001,203124,201584,1627851,201943,203496,101141,203954,203917,204456,NA
166,2,204001,203124,201584,1627851,201943,203496,101141,203457,203917,204456,NA
167,2,204001,203124,201584,1627851,201943,201945,101141,203457,203917,204456,NA
169,2,204001,203124,201584,202498,201943,201945,101141,203457,203917,204456,NA
179,2,204001,1626195,201584,202498,201943,201945,101141,203457,203917,204456,NA
180,2,204001,1626195,201584,202498,201943,201945,101141,203457,1627789,204456,NA
190,2,204001,1626195,201584,202498,201943,201945,203967,203457,1627789,204456,NA
191,2,2546,1626195,201584,202498,201943,201945,203967,203457,1627789,204456,NA
203,2,2546,1626195,201584,202498,201943,201945,203967,203457,1627789,200771,NA
204,2,2546,1626195,201584,201565,201943,201945,203967,203457,1627789,200771,NA
212,2,2546,204001,201584,201565,201943,201945,203967,203457,1627789,200771,NA
221,2,2546,204001,201584,201565,201943,201945,101141,203457,1627789,200771,NA
222,2,2546,204001,201584,201565,201943,201945,101141,203954,1627789,200771,NA
223,2,2546,204001,201584,201565,203124,201945,101141,203954,1627789,200771,NA
231,2,2546,204001,201584,201565,203124,201945,101141,203954,1627789,204456,NA
256,2,2546,204001,201584,201565,203124,201945,101141,203457,1627789,204456,NA
261,2,2546,204001,201584,201565,203124,201945,101141,203457,203496,204456,NA
265,2,2546,202498,201584,201565,203124,201945,101141,203457,203496,204456,NA
271,3,2546,204001,201149,201584,201565,203496,101141,203954,203917,204456,NA
332,3,2546,204001,201149,201584,201565,203496,203967,203954,203917,204456,NA
333,3,2546,204001,201149,201584,201565,203496,203967,203457,203917,204456,NA
335,3,2546,203124,201149,201584,201565,203496,203967,203457,203917,204456,NA
336,3,2546,203124,202498,201584,201565,203496,203967,203457,203917,204456,NA
343,3,2546,203124,202498,201584,201565,203496,203967,203457,203917,200771,NA
350,3,2546,203124,202498,201584,201565,203496,203967,203457,1627789,200771,NA
351,3,2546,203124,202498,201584,201565,201945,203967,203457,1627789,200771,NA
360,3,2546,203124,202498,201584,201943,201945,203967,203457,1627789,200771,NA
378,3,2546,203124,202498,203200,201943,201945,203967,203457,1627789,200771,NA
385,3,2546,203124,202498,203200,201943,201945,203967,203954,1627789,200771,NA
391,3,2546,201149,202498,203200,201943,201945,203967,203954,1627789,200771,NA
402,4,204001,201149,201584,203200,201943,101141,203954,203917,204456,203967,202498
414,4,204001,201149,201584,203200,201943,101141,203954,203917,204456,203496,202498
430,4,204001,201149,201584,203200,201943,101141,203457,203917,204456,203496,202498
452,4,2546,201149,201584,203200,201943,101141,203457,203917,204456,203496,202498
453,4,2546,203124,201584,203200,201943,101141,203457,203917,204456,203496,202498
479,4,2546,203124,201584,201584,201943,101141,203457,203917,204456,203496,202498
455,4,2546,203124,201584,201584,201943,101141,203457,203917,200771,203496,202498
456,4,2546,203124,201584,201584,201943,203967,203457,203917,200771,203496,202498
457,4,2546,203124,201584,201584,201943,203967,203457,201945,200771,203496,202498
473,4,2546,203124,202498,202498,201943,203967,203457,201945,200771,203496,202498
488,4,2546,203124,202498,202498,201943,204456,203457,201945,200771,203496,202498
489,4,2546,203124,202498,202498,201943,204456,101141,201945,200771,203496,202498
490,4,2546,203124,202498,202498,201943,204456,101141,201945,203954,203496,202498
499,4,2546,201149,202498,202498,201943,204456,101141,201945,203954,203496,202498
528,4,2546,204001,202498,202498,201943,204456,101141,201945,203954,203496,202498
