eventnum,period,away.1,away.2,away.3,away.4,home.1,home.2,home.3,home.4,home.5,away.5
2,1,200794,203914,1627750,203486,1627752,101141,203473,203145,203471,NA
53,1,200794,203914,1627750,203486,1627752,101141,203473,203145,1627098,NA
91,1,200794,203914,1626144,203486,1627752,101141,203473,203145,1627098,NA
99,1,203999,203914,1626144,203486,1627752,101141,203473,203145,1627098,NA
109,1,203999,201163,1626144,203486,1627752,101141,203473,203145,1627098,NA
118,1,203999,201163,1626144,203486,203471,101141,203473,203145,1627098,NA
142,1,203999,201163,1626144,203486,203471,101141,203473,203145,202337,NA
151,1,203999,201163,1626144,1627750,203471,101141,203473,203145,202337,NA
153,1,203999,201163,1626144,1627750,203471,101141,203473,203145,1627098,NA
168,2,203999,203115,1626144,1627736,101141,203473,203145,1627819,NA,202702
237,2,200794,203115,1626144,1627736,101141,203473,203145,1627819,NA,202702
238,2,200794,203115,1626144,1627736,101141,203473,203145,1627819,NA,203914
239,2,200794,203115,1626144,203486,101141,203473,203145,1627819,NA,203914
242,2,200794,203115,1626144,203486,101141,203473,1627752,1627819,NA,203914
249,2,200794,201163,1626144,203486,101141,203473,1627752,1627819,NA,203914
266,2,200794,201163,1626144,203486,101141,201158,1627752,1627819,NA,203914
281,2,200794,201163,1626144,203486,203488,201158,1627752,1627819,NA,203914
282,2,200794,201163,1626144,203486,203488,201158,1627752,203471,NA,203914
314,2,200794,201163,1626144,203999,203488,201158,1627752,203471,NA,203914
331,1,203999,201163,1626144,1627750,203471,101141,203473,1628381,1627098,NA
339,3,201163,200794,203999,203914,1627752,101141,203473,203145,203471,1627750
383,3,201163,200794,203999,203914,1627752,101141,203473,203145,1627098,1627750
394,3,201163,200794,203999,203914,1627752,101141,1628381,203145,1627098,1627750
395,3,203115,200794,203999,203914,1627752,101141,1628381,203145,1627098,1627750
400,3,203115,200794,203486,203914,1627752,101141,1628381,203145,1627098,1627750
424,3,203115,200794,203486,203914,1627752,201158,1628381,203145,1627098,1627750
425,3,203115,200794,203486,203914,1627752,201158,1628381,203488,1627098,1627750
426,3,203115,200794,203486,203914,1627752,201158,1628381,203488,1627098,1626144
452,3,203115,203999,203486,203914,1627752,201158,1628381,203488,1627098,1626144
463,3,203115,203999,203486,203914,203471,201158,1628381,203488,1627098,1626144
464,3,203115,203999,203486,203914,203471,201158,203473,203488,1627098,1626144
484,3,203115,203999,203486,203914,203471,1627819,203473,203488,1627098,1626144
485,3,203115,203999,203486,203914,203471,1627819,203473,203488,203145,1626144
496,4,203999,203115,1626144,1627736,203473,203145,203471,203488,201158,202702
532,4,203999,203115,1626144,1627736,203473,203145,203471,101141,201158,202702
549,4,203999,203115,1626144,1627736,203473,203145,203471,101141,1627098,202702
550,4,203999,203115,1626144,1627736,1627752,203145,203471,101141,1627098,202702
551,4,203999,203115,1626144,1627736,1627752,203145,203488,101141,1627098,202702
552,4,203999,203115,1626144,203914,1627752,203145,203488,101141,1627098,202702
564,4,203486,203115,1626144,203914,1627752,203145,203488,101141,1627098,202702
565,4,203486,203115,1626144,203914,1627752,203145,203488,101141,1627098,200794
577,4,203486,203115,1626144,203914,1627752,203145,203488,101141,201158,200794
578,4,203486,203115,1626144,203914,1627752,203471,203488,101141,201158,200794
587,4,203486,203115,1626144,203914,1627752,203471,203473,101141,201158,200794
612,4,203999,203115,1626144,203914,1627752,203471,203473,101141,201158,200794
632,4,201163,203115,1626144,203914,1627752,203471,203473,101141,201158,200794
639,4,201163,203115,1626144,203914,1627752,203471,203473,101141,203145,200794
640,4,201163,203115,1626144,203914,1627752,203471,203473,1627819,203145,200794
642,4,203999,203115,1626144,203914,1627752,203471,203473,1627819,203145,200794
649,4,203999,203115,1626144,203914,1627752,203471,203473,101141,203145,200794
655,4,201163,203115,1626144,203914,1627752,201158,203473,101141,203145,200794
656,4,201163,203115,1626144,203914,1627752,201158,203473,101141,203488,200794
664,4,201163,203115,1626144,203914,1627752,201158,203473,203471,203488,200794
665,4,201163,203115,1626144,203914,1627752,1627819,203473,203471,203488,200794
666,4,201163,203115,1626144,203914,1627752,1627819,203473,203471,203145,200794
667,4,201163,203115,203999,203914,1627752,1627819,203473,203471,203145,200794
668,4,1627750,203115,203999,203914,1627752,1627819,203473,203471,203145,200794
675,4,1627750,203115,203999,203914,1627752,201158,203473,203471,203145,200794
676,4,1627750,203115,1626144,203914,1627752,201158,203473,203471,203145,200794
677,4,201163,203115,1626144,203914,1627752,201158,203473,203471,203145,200794
688,1,203999,201163,1626144,1627750,203471,101141,201158,1628381,1627098,NA
689,1,203486,201163,1626144,1627750,203471,101141,201158,1628381,1627098,NA
693,1,203486,201163,1626144,1627750,203471,203488,201158,1628381,1627098,NA
694,1,203486,203115,1626144,1627750,203471,203488,201158,1628381,1627098,NA
697,2,200794,201163,1626144,203999,101141,201158,1627752,203471,NA,203914
700,2,200794,201163,1626144,203999,101141,1627098,1627752,203471,NA,203914
702,2,200794,201163,1626144,203999,101141,1627098,1627752,1627819,NA,203914
704,2,200794,201163,1626144,203999,101141,1628381,1627752,1627819,NA,203914
706,2,200794,201163,1627750,203999,101141,1628381,1627752,1627819,NA,203914
