eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,home.6,home.7
2,1,203992,2216,1626161,202066,201588,1627752,202337,203473,203145,203471,NA,NA
56,1,203992,2216,1626161,202066,201588,1627752,101141,203473,203145,203471,NA,NA
67,1,203992,2216,1626161,202066,201588,1627752,101141,1628381,203145,203471,NA,NA
68,1,203992,2216,1626161,202066,201588,1627752,101141,1628381,201158,203471,NA,NA
81,1,203992,2216,1626161,202066,201588,1627098,101141,1628381,201158,203471,NA,NA
82,1,203992,1628382,1626161,202066,201588,1627098,101141,1628381,201158,203471,NA,NA
93,1,203992,1628382,1626161,202066,201588,1627098,101141,1628381,201158,1627819,NA,NA
94,1,1627781,1628382,1626161,202066,201588,1627098,101141,1628381,201158,1627819,NA,NA
104,1,1627781,1628382,201585,202066,201588,1627098,101141,1628381,201158,1627819,NA,NA
112,1,1627781,1628382,201585,202066,1627741,1627098,101141,1628381,201158,1627819,NA,NA
113,1,1627781,1628382,201585,1628368,1627741,1627098,101141,1628381,201158,1627819,NA,NA
128,1,1627781,1628382,201585,1628368,1627741,1627098,1628463,1628381,201158,1627819,NA,NA
131,1,1627781,1628382,201585,1628368,1627741,1627098,1628463,202337,201158,1627819,NA,NA
155,2,1628382,1627781,201585,1627741,1628368,202337,201158,1627098,1627819,1628463,NA,NA
180,2,1628382,1627781,201585,1627741,1628368,202337,201158,203473,1627819,1628463,NA,NA
181,2,1628382,1627781,201585,1627741,1628368,202337,201158,203473,1627819,203145,NA,NA
197,2,1628382,1627781,201585,1627741,1628368,202337,101141,203473,1627819,203145,NA,NA
198,2,1628382,1627781,201585,1627741,1628368,1627752,101141,203473,1627819,203145,NA,NA
211,2,1628382,1627781,201585,1627741,1628368,1627752,101141,203473,203471,203145,NA,NA
212,2,1628382,2216,201585,1627741,1628368,1627752,101141,203473,203471,203145,NA,NA
243,2,1628382,2216,201585,1627741,1628368,1627752,1628463,203473,203471,203145,NA,NA
244,2,203992,2216,201585,1627741,1628368,1627752,1628463,203473,203471,203145,NA,NA
245,2,203992,2216,1626161,1627741,1628368,1627752,1628463,203473,203471,203145,NA,NA
275,2,203992,2216,1626161,1627741,1628368,1627752,1628463,203473,203471,201158,NA,NA
276,2,203992,2216,1626161,1627741,201588,1627752,1628463,203473,203471,201158,NA,NA
277,2,203992,2216,1626161,202066,201588,1627752,1628463,203473,203471,201158,NA,NA
330,3,203992,2216,1626161,202066,201588,1627752,203473,203145,203471,1628463,NA,NA
354,3,203992,2216,1626161,202066,201588,1627098,203473,203145,203471,1628463,NA,NA
366,3,203992,2216,1626161,202066,201588,1627098,203473,203145,203471,101141,NA,NA
397,3,203992,2216,1626161,202066,201588,1627098,1628381,203145,203471,101141,NA,NA
398,3,203992,2216,1626161,1627741,201588,1627098,1628381,203145,203471,101141,NA,NA
410,3,203992,2216,1626161,1627741,201588,1627098,1628381,201158,203471,101141,NA,NA
411,3,203992,2216,201585,1627741,201588,1627098,1628381,201158,203471,101141,NA,NA
417,3,203992,2216,201585,1627741,201588,1627098,1628381,201158,203471,203473,NA,NA
445,3,203992,2216,201585,1627741,201588,1627098,1628381,201158,1627819,203473,NA,NA
446,3,1628382,2216,201585,1627741,201588,1627098,1628381,201158,1627819,203473,NA,NA
447,3,1628382,1628368,201585,1627741,201588,1627098,1628381,201158,1627819,203473,NA,NA
460,3,1628382,1628368,201585,1627741,201588,1627098,1628381,201158,1627819,203145,NA,NA
475,3,1628382,1628368,201585,1627741,201588,1627752,1628381,201158,1627819,203145,NA,NA
494,3,1628382,1628368,201585,1627741,1627781,1627752,1628381,201158,1627819,203145,NA,NA
503,4,1628382,1627781,201585,1627741,1628368,1627752,203145,101141,201158,1627098,1627819,1628463
577,4,1628382,1627781,201585,1627741,1627746,1627752,203145,101141,201158,1627098,1627819,1628463
589,4,1628382,1627781,201585,1627741,1627746,1627752,203145,1628463,201158,1627098,1627819,1628463
622,4,1628382,1627781,201585,1627741,1627746,1627752,203145,1628463,201158,1627819,1627819,1628463
647,4,1628382,1627781,201585,1627741,1627746,1627752,203145,1628463,1627098,1627819,1627819,1628463
648,4,1628382,1627781,1627834,1627741,1627746,1627752,203145,1628463,1627098,1627819,1627819,1628463
655,4,1628382,1627781,1627834,1627741,1627746,1627752,101141,1628463,1627098,1627819,1627819,1628463
656,4,1628382,1627781,1627834,1628412,1627746,1627752,101141,1628463,1627098,1627819,1627819,1628463
