eventnum,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5,home.6
2,1,1627789,203967,101161,200755,1627732,202734,203076,202326,201950,200765,2754
49,1,1627789,202344,101161,200755,1627732,202734,203076,202326,201950,200765,2754
63,1,1627789,202344,101161,201573,1627732,202734,203076,202326,201950,200765,2754
70,1,1627789,202344,1626158,201573,1627732,202734,203076,202326,201950,200765,2754
86,1,1627788,202344,1626158,201573,1627732,202734,203076,202326,201950,200765,2754
113,1,1627788,202344,101161,201573,1627732,202734,203076,202326,201950,200765,2754
122,1,1627788,202344,101161,201573,200755,202734,203076,202326,201950,200765,2754
132,1,1627788,202344,101161,201573,200755,202734,203076,202326,2754,200765,2754
133,1,1627788,202344,101161,201573,200755,202734,203121,202326,2754,200765,2754
143,1,1627788,202344,101161,201573,200755,202734,203121,202326,2754,201950,2754
144,1,1627788,202344,101161,201573,200755,203546,203121,202326,2754,201950,2754
156,1,1627788,202344,101161,201573,200755,203546,203121,203076,2754,201950,2754
177,2,203967,101161,200755,201573,1627788,203076,201950,203121,201967,203546,NA
200,2,203967,101161,200755,1627732,1627788,203076,201950,203121,201967,203546,NA
209,2,203967,1626158,200755,1627732,1627788,203076,201950,203121,201967,203546,NA
220,2,203967,1626158,200755,1627732,1627789,203076,201950,203121,201967,203546,NA
230,2,203967,1626158,200755,1627732,1627789,203076,202326,203121,201967,203546,NA
231,2,203967,1626158,200755,1627732,1627789,203076,202326,200765,201967,203546,NA
232,2,203967,1626158,200755,1627732,1627789,203076,202326,200765,202734,203546,NA
265,2,201573,1626158,200755,1627732,1627789,203076,202326,200765,202734,203546,NA
266,2,201573,1626158,202344,1627732,1627789,203076,202326,200765,202734,203546,NA
272,2,201573,1626158,202344,1627732,1627789,203076,202326,200765,202734,201950,NA
291,2,200755,1626158,202344,1627732,1627789,203076,202326,200765,202734,201950,NA
315,2,200755,1626158,202344,1627732,1627789,203076,201967,200765,202734,201950,NA
336,3,1627789,203967,101161,200755,1627732,202734,203076,202326,201950,200765,NA
404,3,1627789,203967,1626158,200755,1627732,202734,203076,202326,201950,200765,NA
408,3,1627789,203967,1626158,201573,1627732,202734,203076,202326,201950,200765,NA
424,3,1627788,203967,1626158,201573,1627732,202734,203076,202326,201950,200765,NA
431,3,1627788,203967,1626158,201573,1627732,202734,203076,201967,201950,200765,NA
442,3,1627788,203967,1626158,201573,1627732,202734,203076,201967,203121,200765,NA
443,3,1627788,202344,1626158,201573,1627732,202734,203076,201967,203121,200765,NA
480,3,1627788,202344,1626158,201573,1627732,202734,203076,201967,203121,201600,NA
481,3,1627788,202344,1626158,201573,1627732,202734,203546,201967,203121,201600,NA
482,3,1627788,202344,1626158,201573,1627732,201950,203546,201967,203121,201600,NA
483,3,1627788,202344,1626158,201573,200755,201950,203546,201967,203121,201600,NA
552,4,203967,101161,200755,201573,1627788,202734,203076,202326,201950,200765,NA
581,4,203967,101161,200755,201573,1627788,202734,203076,201967,201950,200765,NA
582,4,203967,101161,200755,1627732,1627788,202734,203076,201967,201950,200765,NA
594,4,203967,101161,200755,1627732,1627789,202734,203076,201967,201950,200765,NA
599,4,203967,101161,201573,1627732,1627789,202734,203076,201967,201950,200765,NA
620,4,202344,101161,201573,1627732,1627789,202734,203076,201967,201950,200765,NA
632,4,202344,101161,200755,1627732,1627789,202734,203076,201967,201950,200765,NA
638,4,202344,1626158,200755,1627732,1627789,202734,203076,201967,201950,200765,NA
650,4,202344,1626158,200755,1627732,203967,202734,203076,201967,201950,200765,NA
661,4,202344,1626158,200755,1627732,203967,202734,203076,202326,201950,200765,NA
696,4,202344,1626158,200755,1627732,203967,202734,201967,202326,201950,200765,NA
697,4,201573,1626158,200755,1627732,203967,202734,201967,202326,201950,200765,NA
