EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,AWAY_6,HOME_6,HOME_7
2,1,1627752,101141,203101,203145,203471,204001,202498,202683,201584,101127,NA,NA,NA
41,1,1627752,101141,203101,203145,203471,204001,203926,202683,201584,101127,NA,NA,NA
42,1,1627752,101141,1628463,203145,203471,204001,203926,202683,201584,101127,NA,NA,NA
65,1,1627752,101141,1628463,203145,203471,204001,203926,202683,1627758,101127,NA,NA,NA
66,1,1627752,101141,1628463,1627761,203471,204001,203926,202683,1627758,101127,NA,NA,NA
67,1,1627752,101141,1628463,1627761,1627819,204001,203926,202683,1627758,101127,NA,NA,NA
76,1,1627752,101141,1628463,1627761,1627819,204001,203926,202683,1627758,1628373,NA,NA,NA
77,1,1627752,202337,1628463,1627761,1627819,204001,203926,202683,1627758,1628373,NA,NA,NA
97,1,1627752,202337,1628463,1627761,1627819,204001,203926,203124,1627758,1628373,NA,NA,NA
98,1,201158,202337,1628463,1627761,1627819,204001,203926,203124,1627758,1628373,NA,NA,NA
122,1,201158,202337,203101,1627761,1627819,204001,203926,203124,1627758,1628373,NA,NA,NA
134,2,203101,203145,1628463,1627761,1627819,204001,201584,203926,1627758,1628373,202337,203124,201563
189,2,203101,203145,1628463,1627761,1627752,204001,201584,203926,1627758,1628373,202337,203124,201563
292,2,203101,203145,1628463,1627761,1627752,204001,201584,201584,1627758,1628373,202337,203124,201563
319,2,203471,203145,1628463,1627761,1627752,204001,201584,201584,1627758,1628373,202337,203124,201563
352,2,203471,203145,1628463,1627761,1627752,204001,201584,201584,1627758,101127,202337,203124,201563
231,2,203471,203145,1628463,1627761,1627752,204001,201584,201584,202683,101127,202337,203124,201563
232,2,101141,203145,1628463,1627761,1627752,204001,201584,201584,202683,101127,202337,203124,201563
241,2,101141,203471,1628463,1627761,1627752,204001,201584,201584,202683,101127,202337,203124,201563
253,2,101141,203471,1628463,201158,1627752,204001,201584,201584,202683,101127,202337,203124,201563
259,2,101141,203471,202337,201158,1627752,204001,201584,201584,202683,101127,202337,203124,201563
262,2,101141,1627098,202337,201158,1627752,204001,201584,201584,202683,101127,202337,203124,201563
270,2,101141,1627098,202337,201158,1627752,204001,1627758,1627758,202683,101127,202337,203124,201563
289,2,101141,1627098,202337,201158,1627752,204001,1627758,1627758,202498,101127,202337,203124,201563
298,2,101141,1627098,202337,201158,1627752,201584,1627758,1627758,202498,101127,202337,203124,201563
332,3,1627752,101141,203101,203145,203471,204001,202498,202683,201584,101127,NA,NA,NA
372,3,1627752,101141,1628463,203145,203471,204001,202498,202683,201584,101127,NA,NA,NA
388,3,1627752,101141,1628463,203145,203471,204001,202498,203124,201584,101127,NA,NA,NA
