EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,AWAY_5,AWAY_6
2,1,202323,202329,203994,203081,1626209,203932,202696,203613,203901,NA,NA
63,1,1628380,202329,203994,203081,1626209,203932,202696,203613,203901,NA,NA
64,1,1628380,202329,202334,203081,1626209,203932,202696,203613,203901,NA,NA
300,1,1628380,202329,202334,203081,1628411,203932,202696,203613,203901,NA,NA
97,1,1628380,202329,202334,203081,1628411,203932,202696,203613,202687,NA,NA
98,1,1628380,202329,202334,203081,1628411,203932,201571,203613,202687,NA,NA
122,1,1628380,203894,202334,203081,1628411,203932,201571,203613,202687,NA,NA
139,1,1628380,203894,202334,203081,1628411,201578,201571,203613,202687,NA,NA
132,1,1628380,203894,202334,203468,1628411,201578,201571,203613,202687,NA,NA
148,2,203994,203468,1628380,1626192,203932,202696,1628411,201571,202714,203894,203943
324,2,203994,203468,203994,1626192,203932,202696,1628411,201571,202714,203894,203943
330,2,203994,203468,203994,1626192,203932,202696,203932,201571,202714,203894,203943
331,2,203994,203468,203994,202323,203932,202696,203932,201571,202714,203894,203943
235,2,203994,203468,203994,202323,203932,202696,203932,203901,202714,203894,203943
236,2,203994,203081,203994,202323,203932,202696,203932,203901,202714,203894,203943
258,2,203994,203081,203994,202323,201578,202696,201578,203901,202714,203894,203943
259,2,203994,203081,203994,202323,201578,202696,201578,203901,203613,203894,203943
278,2,203994,203081,203994,202323,201571,202696,201571,203901,203613,203894,203943
279,2,203994,203081,203994,202323,201571,202696,201571,203901,203613,203468,203943
293,2,202334,203081,202334,202323,201571,202696,201571,203901,203613,203468,203943
298,2,202334,203081,202334,202323,201571,202687,201571,203901,203613,203468,203943
314,2,203943,203081,203943,202323,201571,202687,201571,203901,203613,203468,203943
341,3,202323,202329,203994,203468,1626209,203932,202696,203613,203901,203081,NA
415,3,202323,202329,202334,203468,1626209,203932,202696,203613,203901,203081,NA
425,3,202323,202329,202334,203468,1626209,203932,202696,203613,201571,203081,NA
426,3,202323,202329,202334,203468,1628411,203932,202696,203613,201571,203081,NA
427,3,1626192,202329,202334,203468,1628411,203932,202696,203613,201571,203081,NA
441,3,1626192,202329,202334,203894,1628411,203932,202696,203613,201571,203081,NA
451,3,1626192,202329,202334,203894,1628411,203932,202696,202714,201571,203081,NA
452,3,1626192,1628380,202334,203894,1628411,203932,202696,202714,201571,203081,NA
476,3,1626192,1628380,202334,203894,1628411,201578,202696,202714,201571,203081,NA
477,3,1626192,1628380,202334,203894,1628411,201578,202696,202714,201571,203468,NA
495,4,203468,1628380,202334,1626192,1628411,202687,201571,201578,202714,203894,NA
531,4,203468,1628380,202334,1626192,1628411,202687,201571,203932,202714,203894,NA
532,4,203468,1628380,203943,1626192,1628411,202687,201571,203932,202714,203894,NA
618,4,203468,1628380,203943,1626192,1628411,202696,201571,203932,202714,203894,NA
619,4,203468,1628380,203943,1626192,203613,202696,201571,203932,202714,203894,NA
546,4,203468,1628380,203943,203081,203613,202696,201571,203932,202714,203894,NA
556,4,203468,1628380,203943,203081,203613,202696,201571,201578,202714,203894,NA
559,4,203468,203994,203943,203081,203613,202696,201571,201578,202714,203894,NA
575,4,203468,203994,203943,203081,203613,202696,203901,201578,202714,203894,NA
576,4,203468,203994,203943,203081,203613,202696,203901,201578,202714,202323,NA
591,4,203468,203994,202329,203081,203613,202696,203901,201578,202714,202323,NA
600,4,1626192,203994,202329,203081,203613,202696,203901,201578,202714,202323,NA
611,4,1626192,203994,202329,203081,203613,202696,203901,201578,201571,202323,NA
624,4,203468,203994,202329,203081,203613,202696,203901,201578,201571,202323,NA
645,4,203468,203994,202329,203081,203613,202696,203901,202714,201571,202323,NA
681,4,203468,203994,202329,203081,203613,202696,201578,202714,201571,202323,NA
