EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,HOME_6
2,1,1628415,203210,201188,1626150,201936,201142,203110,2585,202691,201939,NA
67,1,1628415,203516,201188,1626150,201936,201142,203110,2585,202691,201939,NA
68,1,1628415,203516,201188,1626185,201936,201142,203110,2585,202691,201939,NA
93,1,1628415,203516,201188,1626185,201936,201142,201956,2585,202691,201939,NA
94,1,1628415,203516,201188,1626185,201936,201142,201956,2738,202691,201939,NA
95,1,1628415,203516,201188,1626185,201936,201142,201956,2738,202691,201580,NA
96,1,1628424,203516,201188,1626185,201936,201142,201956,2738,202691,201580,NA
97,1,1628424,203516,1627738,1626185,201936,201142,201956,2738,202691,201580,NA
144,2,203516,1626185,1628424,1627738,201596,203110,2738,2733,2561,201156,NA
171,2,203516,1626185,1628424,1627738,201596,201956,2738,2733,2561,201156,NA
200,2,203516,1626185,1626150,1627738,201596,201956,2738,2733,2561,201156,NA
212,2,203516,1626185,1626150,1627738,201596,201956,2738,2733,2561,202691,NA
213,2,203516,1626185,1626150,1627738,201596,201142,2738,2733,2561,202691,NA
216,2,203516,1626185,1626150,1627738,201596,201142,201156,2733,2561,202691,NA
217,2,203516,1626185,1626150,1627738,201188,201142,201156,2733,2561,202691,NA
218,2,203516,1626185,1626150,201936,201188,201142,201156,2733,2561,202691,NA
226,2,203516,1626185,1626150,201936,201188,201142,201939,2733,2561,202691,NA
234,2,203516,1628415,1626150,201936,201188,201142,201939,2733,2561,202691,NA
235,2,203210,1628415,1626150,201936,201188,201142,201939,2733,2561,202691,NA
246,2,203210,1628415,1626150,201936,201188,201142,201939,2733,2585,202691,NA
262,2,203210,1628415,1626150,201936,201188,201142,201939,1628395,2585,202691,NA
275,2,203210,1628415,1628424,201936,201188,201142,201939,1628395,2585,202691,NA
316,3,1628415,203210,201188,1626150,201936,201142,2585,202691,201939,1628395,NA
333,3,1628415,203210,201188,203516,201936,201142,2585,202691,201939,1628395,NA
350,3,1628424,203210,201188,203516,201936,201142,2585,202691,201939,1628395,NA
365,3,1628424,201148,201188,203516,201936,201142,2585,202691,201939,1628395,NA
398,3,1628424,201148,201188,203516,201936,201142,2585,202691,201939,2738,NA
399,3,1628424,201148,201188,203516,201936,201142,2585,201956,201939,2738,NA
400,3,1626150,201148,201188,203516,201936,201142,2585,201956,201939,2738,NA
401,3,1626150,201148,201188,203516,201596,201142,2585,201956,201939,2738,NA
410,3,1626150,201148,201188,203516,201596,201142,201580,201956,201939,2738,NA
424,3,1626150,201148,201188,203516,201596,201142,201580,201956,201156,2738,NA
425,3,1626150,201148,1626185,203516,201596,201142,201580,201956,201156,2738,NA
460,3,1628424,201148,1626185,203516,201596,201142,201580,201956,201156,2738,NA
478,4,1628415,1626185,1628424,1627738,201596,202691,201939,201956,2738,2733,2561
536,4,1628415,201188,1628424,1627738,201596,202691,201939,201956,2738,2733,2561
537,4,1628415,201188,1628424,1627738,201936,202691,201939,201956,2738,2733,2561
553,4,1628415,201188,1628424,1627738,201936,202691,201939,201956,201142,2733,2561
563,4,1628415,201188,1628424,1627738,201936,202691,201939,1628395,201142,2733,2561
573,4,1628415,201188,1628424,203210,201936,202691,201939,1628395,201142,2733,2561
655,4,1628415,201188,1628424,203210,201936,202691,201939,1628395,201142,201939,2561
595,4,1628415,201188,1628424,203210,201936,201156,201939,1628395,201142,201939,2561
596,4,1628415,201188,1628424,1626185,201936,201156,201939,1628395,201142,201939,2561
608,4,1628415,201188,1628424,1626185,201936,201156,1627775,1628395,201142,1627775,2561
609,4,1628415,201188,1628424,1626185,201936,201156,1627775,1628395,201956,1627775,2561
610,4,1628415,201188,1628424,1626185,1627738,201156,1627775,1628395,201956,1627775,2561
611,4,1628415,1628397,1628424,1626185,1627738,201156,1627775,1628395,201956,1627775,2561
612,4,203516,1628397,1628424,1626185,1627738,201156,1627775,1628395,201956,1627775,2561
