EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5,AWAY_5
2,1,1628369,203382,1627759,202681,203496,203967,200755,1627732,1626158,NA
123,1,1628369,203382,1627759,202681,203496,203967,204456,1627732,1626158,NA
124,1,203935,203382,1627759,202681,203496,203967,204456,1627732,1626158,NA
74,1,203935,203382,1627759,202681,203496,201573,204456,1627732,1626158,NA
75,1,203935,201143,1627759,202681,203496,201573,204456,1627732,1626158,NA
111,1,203935,201143,1627759,202681,202344,201573,204456,1627732,1626158,NA
112,1,203935,201143,1627759,202681,202344,201573,204456,1627732,203954,NA
113,1,203935,201143,1626179,202681,202344,201573,204456,1627732,203954,NA
128,1,203935,201143,1626179,202681,202344,201573,204456,200755,203954,NA
167,2,1628369,203935,202694,1626179,203967,203954,200755,204456,1627789,1628464
181,2,1628369,203935,202694,1626179,203967,203954,200755,204456,1627789,203382
199,2,1628369,203935,202694,1626179,203967,203954,200755,204456,201573,203382
200,2,1628369,203935,202694,1626179,203496,203954,200755,204456,201573,203382
201,2,1628369,203935,202694,1626179,203496,203954,200755,1626158,201573,203382
202,2,1628369,203935,202694,1626179,203496,1627732,200755,1626158,201573,203382
203,2,1628369,203499,202694,1626179,203496,1627732,200755,1626158,201573,203382
212,2,1628369,203499,202694,1626179,203496,1627732,203967,1626158,201573,203382
223,2,1628369,203499,1628464,1626179,203496,1627732,203967,1626158,201573,203382
224,2,1628369,203499,1628464,1626179,203496,1627732,203967,1626158,201573,1627759
238,2,202681,203499,1628464,1626179,203496,1627732,203967,1626158,201573,1627759
239,2,202681,203499,1628464,201143,203496,1627732,203967,1626158,201573,1627759
268,2,202681,203499,1628464,201143,203496,1627732,203967,1626158,203954,1627759
269,2,202681,203499,1628464,201143,203496,1627732,203967,200755,203954,1627759
279,2,202681,203499,1628464,201143,203496,1627732,202344,200755,203954,1627759
313,2,202681,203935,1628464,201143,203496,1627732,202344,200755,203954,1627759
320,2,202681,203935,1628464,201143,203496,1627732,203967,200755,203954,1627759
321,2,202681,203935,203382,201143,203496,1627732,203967,200755,203954,1627759
332,2,202681,203935,203382,201143,203496,1627732,204456,200755,203954,1627759
333,2,202681,203935,1628369,201143,203496,1627732,204456,200755,203954,1627759
346,3,1628369,201143,203382,1627759,203496,203967,203954,200755,1627732,202681
384,3,1628369,201143,203382,1627759,203496,203967,203954,204456,1627732,202681
385,3,1628369,201143,203382,1627759,203496,203967,1626158,204456,1627732,202681
391,3,1628369,201143,1628464,1627759,203496,203967,1626158,204456,1627732,202681
406,3,1628369,201143,1628464,1627759,203496,201573,1626158,204456,1627732,202681
407,3,1628369,202694,1628464,1627759,203496,201573,1626158,204456,1627732,202681
421,3,1628369,202694,1628464,1627759,1627789,201573,1626158,204456,1627732,202681
422,3,1628369,202694,1628464,203935,1627789,201573,1626158,204456,1627732,202681
428,3,1628369,202694,1628464,203935,1627789,203954,1626158,204456,1627732,202681
429,3,1628369,202694,1628464,203935,1627789,203954,200755,204456,1627732,202681
430,3,1628369,202694,1628464,203935,1627789,203954,200755,204456,203967,202681
462,3,1628369,202694,1628464,203935,1627789,203954,200755,204456,203967,1626179
463,3,1628369,202694,201143,203935,1627789,203954,200755,204456,203967,1626179
481,3,1627759,202694,201143,203935,1627789,203954,200755,204456,203967,1626179
503,4,201143,1627759,203935,202694,203967,203954,200755,204456,201573,1626179
530,4,201143,1627759,203935,202694,203967,203954,1626158,204456,201573,1626179
531,4,201143,1627759,203935,202694,203967,203496,1626158,204456,201573,1626179
560,4,201143,1627759,203935,202694,203967,203496,1626158,204456,1627732,1626179
561,4,201143,1627759,203935,202694,203967,203496,1626158,200755,1627732,1626179
562,4,201143,1627759,203935,202694,203967,203496,203954,200755,1627732,1626179
563,4,201143,1628464,203935,202694,203967,203496,203954,200755,1627732,1626179
564,4,202681,1628464,203935,202694,203967,203496,203954,200755,1627732,1626179
588,4,202681,1628464,1628369,202694,203967,203496,203954,200755,1627732,1626179
612,4,202681,1628464,1628369,201143,203967,203496,203954,200755,1627732,1626179
619,4,202681,1628464,1628369,201143,1626147,203496,203954,200755,1627732,1626179
620,4,202681,1628464,1628369,201143,1626147,203496,203954,1626158,1627732,1626179
621,4,202681,1628464,1628369,201143,1626147,203496,202344,1626158,1627732,1626179
622,4,202681,1628464,1628369,201143,1626147,203496,202344,1626158,204456,1626179
623,4,202681,1628464,1628369,201143,1626147,1627789,202344,1626158,204456,1626179
624,4,1627759,1628464,1628369,201143,1626147,1627789,202344,1626158,204456,1626179
647,4,1627759,1628464,1627846,201143,1626147,1627789,202344,1626158,204456,1626179
648,4,1627759,1628464,1627846,201143,1626147,1627789,202344,1626158,204456,1628400
649,4,1627759,1628464,1627846,1627824,1626147,1627789,202344,1626158,204456,1628400
650,4,203499,1628464,1627846,1627824,1626147,1627789,202344,1626158,204456,1628400
