EVENTNUM,PERIOD,AWAY_1,AWAY_2,AWAY_3,AWAY_4,AWAY_5,HOME_1,HOME_2,HOME_3,HOME_4,HOME_5
2,1,202711,201152,1626167,202083,202709,1629013,201568,1627826,201976,1628983
86,1,201936,201152,1626167,202083,202709,1629013,201568,1627826,201976,1628983
100,1,201936,201152,1626167,202083,202709,1626149,201568,1627826,201976,1628983
101,1,201936,201152,1626167,202083,202709,1626149,201568,101150,201976,1628983
102,1,201936,201152,1626167,202083,203926,1626149,201568,101150,201976,1628983
103,1,201936,1627734,1626167,202083,203926,1626149,201568,101150,201976,1628983
123,1,201936,1627734,1626167,202083,203926,1626149,202066,101150,201976,1628983
124,1,201936,1627734,1626167,202083,203926,1626149,202066,101150,203210,1628983
125,1,201936,1627734,202711,202083,203926,1626149,202066,101150,203210,1628983
136,1,201936,1627734,202711,202083,203926,1626149,202066,101150,203210,201163
176,1,201936,1627734,202711,1628988,203926,1626149,202066,101150,203210,201163
179,1,201936,1627734,202711,1628988,203926,1626149,202066,1628414,203210,201163
178,2,202711,201936,203926,1627734,1628988,1626149,101150,202066,203210,201163
232,2,202711,201936,203926,1627734,1628988,1626149,101150,202066,203210,1629013
245,2,201152,201936,203926,1627734,1628988,1626149,101150,202066,203210,1629013
265,2,201152,201936,203926,1627734,1628988,1626149,101150,202066,1627826,1629013
266,2,201152,201936,203926,1627734,1628988,201568,101150,202066,1627826,1629013
267,2,201152,201936,203926,1627734,1628988,201568,101150,1628983,1627826,1629013
268,2,201152,201936,203926,1627734,1628988,201568,201976,1628983,1627826,1629013
282,2,201152,201936,203926,1626167,1628988,201568,201976,1628983,1627826,1629013
289,2,201152,201936,203926,1626167,202709,201568,201976,1628983,1627826,1629013
290,2,201152,202083,203926,1626167,202709,201568,201976,1628983,1627826,1629013
315,2,201152,202083,203926,1626167,202709,201568,201976,1628983,1627826,101150
316,2,201152,202083,203926,1626167,202709,201568,201976,1628983,1626149,101150
352,3,202711,201152,1626167,202083,202709,1629013,201568,1627826,201976,1628983
424,3,202711,201152,1626167,202083,202709,1629013,201568,1626149,201976,1628983
432,3,202711,1627734,1626167,202083,202709,1629013,201568,1626149,201976,1628983
434,3,202711,1627734,1626167,202083,202709,1629013,203210,1626149,201976,1628983
436,3,202711,1627734,1626167,202083,202709,1629013,203210,1626149,201976,101150
451,3,202711,1627734,1626167,202083,202709,201163,203210,1626149,201976,101150
452,3,202711,1627734,1626167,202083,201936,201163,203210,1626149,201976,101150
469,3,202711,1627734,1626167,202083,201936,201163,203210,1626149,202066,101150
470,3,203926,1627734,1626167,202083,201936,201163,203210,1626149,202066,101150
495,3,203926,1627734,1626167,202083,201936,201163,203210,1626149,202066,1628414
496,3,203926,1627734,1626167,1628988,201936,201163,203210,1626149,202066,1628414
508,4,202711,201936,203926,1627734,1628988,1626149,101150,202066,203210,201163
557,4,202711,201936,203926,1627734,1628988,1626149,101150,202066,203210,1629013
568,4,202711,201936,203926,1627734,1628988,1626149,101150,202066,201568,1629013
569,4,202711,201936,203926,1627734,201152,1626149,101150,202066,201568,1629013
590,4,202711,201936,203926,1627734,201152,1626149,101150,201976,201568,1629013
596,4,202711,201936,203926,1627734,201152,1626149,1628983,201976,201568,1629013
619,4,202711,201936,202083,1627734,201152,1626149,1628983,201976,201568,1629013
633,4,202711,201936,202083,1627734,201152,1626149,1628983,201976,201568,101150
661,4,202711,201936,202083,1627734,201152,1626149,1628983,201976,201568,1628414
666,4,202711,201936,202083,1626167,201152,1626149,1628983,201976,201568,101150
672,4,202711,201936,202083,1626167,201152,1626149,1628983,201976,201568,1628414
