eventnum,period,away.1,away.2,away.3,away.4,away.5,away.6,home.1,home.2,home.3,home.4,home.5
2,1,202330,1628369,1629057,1627759,202689,1628400,202694,203944,1629011,1629628,203901
57,1,203935,1628369,1629057,1627759,202689,1628400,202694,203944,1629011,1629628,203901
58,1,203935,1628369,1629738,1627759,202689,1628400,202694,203944,1629011,1629628,203901
82,1,203935,1628369,1629738,1627759,202689,1628400,1626171,203944,1629011,1629628,203901
83,1,203935,1628369,1629738,1627759,202689,1628400,1626171,203944,1628995,1629628,203901
132,1,203935,1628369,1629738,1627759,202689,1628400,1626171,201959,1628995,1629628,203901
133,1,203935,202330,1629738,1627759,202689,1628400,1626171,201959,1628995,1629628,203901
140,1,203935,202330,1629738,1627759,1629035,1628400,1626171,201959,1628995,1629628,203901
165,2,202330,1629057,203935,1629684,1629035,NA,1626171,1628995,1628372,1629019,201959
198,2,202330,1629057,203935,1627759,1629035,NA,1626171,1628995,1628372,1629019,201959
206,2,202330,1629057,203935,1627759,1629035,NA,1626171,1628995,1628372,1629019,202694
227,2,202330,1629057,203935,1627759,1629035,NA,1629628,1628995,1628372,1629019,202694
228,2,202330,1629057,203935,1627759,1629035,NA,1629628,1628995,203901,1629019,202694
229,2,202330,1629057,203935,1627759,1629035,NA,1629628,1628995,203901,1629011,202694
233,2,202330,1629057,202689,1627759,1629035,NA,1629628,1628995,203901,1629011,202694
261,2,202330,1629057,202689,1627759,1629035,NA,1629628,203944,203901,1629011,202694
262,2,202330,1629684,202689,1627759,1629035,NA,1629628,203944,203901,1629011,202694
282,2,202330,1629684,202689,1627759,1628369,NA,1629628,203944,203901,1629011,202694
283,2,1628400,1629684,202689,1627759,1628369,NA,1629628,203944,203901,1629011,202694
284,2,1628400,1629684,202689,203935,1628369,NA,1629628,203944,203901,1629011,202694
311,1,203935,202330,1629738,1627759,1629035,1628400,1626171,201959,1628995,1628372,203901
312,1,203935,202330,1629738,1627759,1629035,1628400,1626171,201959,1628995,1628372,1629019
315,2,1628400,202330,202689,203935,1628369,NA,1629628,203944,203901,1629011,202694
316,2,1629738,202330,202689,203935,1628369,NA,1629628,203944,203901,1629011,202694
319,1,203935,202330,1629738,1629684,1629035,1628400,1626171,201959,1628995,1628372,1629019
320,1,203935,202330,1628400,1629684,1629035,1628400,1626171,201959,1628995,1628372,1629019
328,2,1629738,202330,202689,203935,1628369,NA,1629628,203944,203901,1626171,202694
330,2,1629684,202330,202689,203935,1628369,NA,1629628,203944,203901,1626171,202694
336,2,1629057,202330,202689,203935,1628369,NA,1629628,203944,203901,1626171,202694
371,2,1629057,202330,202689,203935,1628369,NA,1629628,203944,203901,201959,202694
372,2,1629684,202330,202689,203935,1628369,NA,1629628,203944,203901,201959,202694
387,2,1629684,202330,202689,203935,1628369,NA,1629628,203944,203901,201959,1628373
402,3,202330,1628369,1629057,1627759,202689,NA,202694,203944,1629011,1629628,203901
423,3,202330,1628369,1629057,1627759,202689,NA,202694,203944,1626171,1629628,203901
430,3,202330,1628369,1629057,1628400,202689,NA,202694,203944,1626171,1629628,203901
469,3,202330,203935,1629057,1628400,202689,NA,202694,203944,1626171,1629628,203901
470,3,202330,203935,1629738,1628400,202689,NA,202694,203944,1626171,1629628,203901
486,3,1629035,203935,1629738,1628400,202689,NA,202694,203944,1626171,1629628,203901
498,3,1629035,203935,1629684,1628400,202689,NA,202694,203944,1626171,1629628,203901
505,3,1629035,203935,1629684,1628400,202689,NA,202694,1628995,1626171,1629628,203901
519,3,1629035,203935,1629684,1628400,1628369,NA,202694,1628995,1626171,1629628,203901
526,3,1629035,203935,1629684,1627759,1628369,NA,202694,1628995,1626171,1629628,203901
536,3,1629035,203935,1629684,1627759,1628369,NA,1629019,1628995,1626171,1629628,203901
547,3,1629035,203935,1629684,1627759,1628369,NA,1629019,1628995,1626171,1629628,1628372
590,3,1629035,203935,1629684,1628400,1628369,NA,1629019,1628995,1626171,1629628,1628372
605,4,1628369,1627759,203935,1629684,1629035,NA,202694,1629011,1628995,1628372,1629019
612,4,1628369,1627759,203935,1629684,1629035,NA,202694,1629011,1628995,203901,1629019
627,4,1628369,1627759,203935,1629684,1629035,NA,202694,1629011,203944,203901,1629019
653,4,1628369,1627759,203935,1629684,1629035,NA,202694,1629011,203944,203901,1629628
654,4,1628369,1627759,203935,1629684,202330,NA,202694,1629011,203944,203901,1629628
655,4,1628369,1627759,203935,1629057,202330,NA,202694,1629011,203944,203901,1629628
656,4,1628369,1627759,202689,1629057,202330,NA,202694,1629011,203944,203901,1629628
675,4,1628369,1627759,202689,1629057,202330,NA,1628995,1629011,203944,203901,1629628
688,4,1628369,1627759,202689,1629057,202330,NA,1628995,1629011,203944,1629019,1629628
704,4,1628369,1627759,202689,1629057,202330,NA,1628995,1626171,203944,1629019,1629628
720,4,1628369,1627759,202689,1629057,202330,NA,1628995,1626171,1628422,1629019,1629628
721,4,1629605,1627759,202689,1629057,202330,NA,1628995,1626171,1628422,1629019,1629628
722,4,1629605,1628400,202689,1629057,202330,NA,1628995,1626171,1628422,1629019,1629628
723,4,1629605,1628400,202689,1629057,1629035,NA,1628995,1626171,1628422,1629019,1629628
724,4,1629605,1628400,202689,1629750,1629035,NA,1628995,1626171,1628422,1629019,1629628
725,4,1629605,1628400,202954,1629750,1629035,NA,1628995,1626171,1628422,1629019,1629628
