eventorder,period,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,202357,203084,1626158,1627741,202709,1628369,1628400,202683,1627759,203935
40,1,202357,203992,1626158,1627741,202709,1628369,1628400,202683,1627759,203935
51,1,202357,203992,1626158,1627741,202709,202954,1628400,202683,1627759,203935
52,1,202357,203992,1626158,1627741,202709,202954,1628400,1629057,1627759,203935
79,1,202357,203992,1626158,1627741,202709,202954,1628400,1629057,1629684,203935
80,1,202357,203992,1626158,1627741,202709,202954,1628400,1629057,1629684,1629035
81,1,202357,203992,1626158,1627741,202709,202954,1628369,1629057,1629684,1629035
82,1,202357,203992,1626158,1627741,1627812,202954,1628369,1629057,1629684,1629035
83,1,202357,203992,1626158,203084,1627812,202954,1628369,1629057,1629684,1629035
84,1,1629713,203992,1626158,203084,1627812,202954,1628369,1629057,1629684,1629035
97,2,203084,1627741,1627812,1629713,203473,1628369,202954,1629057,1629684,1629035
114,2,203084,1627741,1627812,1629713,203473,1628369,202954,202683,1629684,1629035
124,2,203084,1627741,1627812,1629713,203473,1628369,1629682,202683,1629684,1629035
139,2,203084,1627741,1627812,1629713,203473,1628369,1629682,202683,203935,1629035
152,2,203084,1627741,1627812,1629713,203473,1627759,1629682,202683,203935,1629035
153,2,203084,203992,1627812,1629713,203473,1627759,1629682,202683,203935,1629035
159,2,203084,203992,1627812,1629713,203473,1627759,1629682,202683,203935,1628400
160,2,203084,203992,1626158,1629713,203473,1627759,1629682,202683,203935,1628400
161,2,203084,203992,1626158,1629713,202357,1627759,1629682,202683,203935,1628400
162,2,202709,203992,1626158,1629713,202357,1627759,1629682,202683,203935,1628400
177,2,202709,203992,1626158,1627741,202357,1627759,1629682,202683,203935,1628400
190,2,202709,203992,1626158,1627741,202357,1627759,1629682,202683,203935,1628369
191,2,202709,203992,1626158,1627741,203084,1627759,1629682,202683,203935,1628369
200,2,202709,203992,1626158,1627741,203084,1627759,1629682,1629057,203935,1628369
218,3,202357,203084,1626158,1627741,202709,1628369,202683,1627759,203935,202954
258,3,202357,203084,1626158,1627741,202709,1628400,202683,1627759,203935,202954
259,3,202357,203084,203992,1627741,202709,1628400,202683,1627759,203935,202954
260,3,202357,203473,203992,1627741,202709,1628400,202683,1627759,203935,202954
268,3,202357,203473,203992,1627741,202709,1628400,1629057,1627759,203935,202954
285,3,202357,203473,203992,1627741,202709,1628400,1629057,1629682,203935,202954
286,3,202357,203473,203992,1627741,202709,1628400,1629057,1629682,203935,1628369
287,3,202357,203473,203992,1627741,202709,1628400,1629057,1629682,1629035,1628369
295,3,202357,203473,203992,1627741,203084,1628400,1629057,1629682,1629035,1628369
309,4,203084,1627741,1627812,1629713,1628385,1628369,1628400,1629057,1629035,1629682
336,4,203084,203992,1627812,1629713,1628385,1628369,1628400,1629057,1629035,1629682
346,4,203084,203992,1627812,1629713,1628385,1628369,1628400,1629057,203935,1629682
355,4,203084,203992,1627812,1629713,1628385,1627759,1628400,1629057,203935,1629682
356,4,203084,203992,1627812,1629713,1628385,1627759,1628400,202683,203935,1629682
358,4,203084,203992,1627741,1629713,1628385,1627759,1628400,202683,203935,1629682
359,4,203084,203992,1627741,202709,1628385,1627759,1628400,202683,203935,1629682
373,4,203084,203992,1627741,202709,1628385,1627759,1628369,202683,203935,1629682
384,4,203084,203992,1627741,202709,1628385,1627759,1628369,202683,203935,202954
395,4,203084,203992,1627741,202709,1628385,1627759,1628369,1629057,203935,202954
396,4,203084,203992,1627741,202709,1626158,1627759,1628369,1629057,203935,202954
