possession.id,period,how.possession.ended,team.with.ball,team.with.ball.id,possession.points,poss.time,start.time,end.time,score,scoremargin,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,defensive.fouls,offensive.rebounds,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,made.shot,away,1610612759,2,16,0,16,2 - 0,-2,1,1,0,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
2,1,missed.shot,home,1610612738,0,19,16,35,2 - 0,-2,0,0,1,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
3,1,made.shot,away,1610612759,2,18,35,53,4 - 0,-4,1,1,0,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
4,1,missed.shot,home,1610612738,0,16,53,69,4 - 0,-4,0,0,1,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
5,1,made.shot,away,1610612759,2,10,69,79,6 - 0,-6,1,1,0,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
6,1,missed.shot,home,1610612738,0,21,79,100,6 - 0,-6,0,0,1,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
7,1,made.shot,away,1610612759,2,10,100,110,8 - 0,-8,1,1,0,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
8,1,missed.shot,home,1610612738,0,22,110,132,8 - 0,-8,1,0,0,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
9,1,missed.shot,away,1610612759,0,14,132,146,8 - 0,-8,1,0,0,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
10,1,made.shot,home,1610612738,3,13,146,159,8 - 3,-5,0,0,1,1,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
11,1,missed.shot,away,1610612759,0,28,159,187,8 - 3,-5,0,0,1,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
12,1,missed.shot,home,1610612738,0,14,187,201,8 - 3,-5,0,0,1,0,0,0,0,0,201942,200746,1626168,1627854,1627749,202330,1628369,1628464,1627759,202689
