possession.id,period,how.possession.ended,team.with.ball,team.with.ball.id,team.without.ball.id,possession.points,possession.time,start.time,end.time,score,scoremargin,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,defensive.fouls,offensive.rebounds,away.1,away.2,away.3,away.4,away.5,home.1,home.2,home.3,home.4,home.5
1,1,made.shot,home,1610612762,1610612745,2,15,0,15,0 - 2,2,1,1,0,0,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
2,1,missed.shot,away,1610612745,1610612762,0,23,15,38,0 - 2,2,1,0,0,0,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
3,1,made.shot,home,1610612762,1610612745,2,18,38,56,0 - 4,4,1,1,0,0,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
4,1,missed.shot,away,1610612745,1610612762,0,22,56,78,0 - 4,4,0,0,1,0,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
5,1,missed.shot,home,1610612762,1610612745,0,15,78,93,0 - 4,4,0,0,1,0,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
6,1,made.shot,away,1610612745,1610612762,3,4,93,97,3 - 4,1,0,0,1,1,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
7,1,last.ft.made,home,1610612762,1610612745,3,23,97,120,3 - 7,4,1,1,0,0,1,1,1,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
8,1,made.shot,away,1610612745,1610612762,2,22,120,142,5 - 7,2,2,1,0,0,0,0,0,1,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
9,1,missed.shot,home,1610612762,1610612745,0,35,142,177,5 - 7,2,1,0,0,0,0,0,1,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
10,1,missed.shot,away,1610612745,1610612762,0,17,177,194,5 - 7,2,1,0,0,0,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
11,1,made.shot,home,1610612762,1610612745,3,10,194,204,5 - 10,5,0,0,1,1,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
12,1,made.shot,away,1610612745,1610612762,3,12,204,216,8 - 10,2,0,0,1,1,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
13,1,made.shot,home,1610612762,1610612745,2,12,216,228,8 - 12,4,1,1,0,0,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
14,1,made.shot,away,1610612745,1610612762,2,19,228,247,10 - 12,2,2,1,0,0,0,0,0,1,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
15,1,turnover,home,1610612762,1610612745,0,20,247,267,10 - 12,2,0,0,0,0,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
16,1,turnover,away,1610612745,1610612762,0,4,267,271,10 - 12,2,0,0,0,0,0,0,0,0,1627863,203496,200782,201935,201566,204060,202711,203497,1628378,201144
