player.name,player.id,team.abbreviation,period
Tayshaun Prince,2419,DET,1
Jason Maxiell,101131,DET,1
Greg Monroe,202328,DET,1
Rodney Stuckey,201155,DET,1
Brandon Knight,202688,DET,1
Alonzo Gee,202087,CLE,1
Antawn Jamison,1712,CLE,1
Tristan Thompson,202684,CLE,1
Anthony Parker,1515,CLE,1
Kyrie Irving,202681,CLE,1
Brandon Knight,202688,DET,2
Will Bynum,101198,DET,2
Jonas Jerebko,201973,DET,2
Damien Wilkins,2863,DET,2
Ben Wallace,1112,DET,2
Samardo Samuels,202396,CLE,2
Manny Harris,202412,CLE,2
Luke Walton,2575,CLE,2
Omri Casspi,201956,CLE,2
Donald Sloan,202388,CLE,2
Tayshaun Prince,2419,DET,3
Jason Maxiell,101131,DET,3
Greg Monroe,202328,DET,3
Brandon Knight,202688,DET,3
Austin Daye,201948,DET,3
Alonzo Gee,202087,CLE,3
Antawn Jamison,1712,CLE,3
Tristan Thompson,202684,CLE,3
Anthony Parker,1515,CLE,3
Kyrie Irving,202681,CLE,3
Will Bynum,101198,DET,4
Jonas Jerebko,201973,DET,4
Damien Wilkins,2863,DET,4
Ben Wallace,1112,DET,4
Austin Daye,201948,DET,4
Samardo Samuels,202396,CLE,4
Manny Harris,202412,CLE,4
Luke Walton,2575,CLE,4
Omri Casspi,201956,CLE,4
Donald Sloan,202388,CLE,4
