eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,is.end.of.possession,possession.end,possession.id,score,scoremargin,player.1.id,time.elapsed,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
2,12,0,1,12:00:00,"","","","",,0,,,0,0,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
4,10,0,1,12:00:00,Jump Ball Jackson Jr. vs. Carter Jr.: Tip to Crowder,"","","",,0,,,1628991,0,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
7,2,1,1,11:38:00,MISS Crowder  3PT Jump Shot,"","","",,0,,,203109,22,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
8,4,0,1,11:35:00,Valanciunas REBOUND (Off:1 Def:0),"","","",,0,,,202685,25,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,2,101,1,11:22:00,MISS Brooks 1' Driving Floating Jump Shot,"","","",,0,,,1628415,38,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
10,4,0,1,11:20:00,"","",Bulls Rebound,TRUE,missed.shot,0,,,1610612741,40,"","","",TRUE,"","","","","","","","","","","","","","",TRUE,TRUE,"","","","","","","","","","","",""
11,7,5,1,11:20:00,Brooks Violation:Kicked Ball (J.Capers),"","","",,1,,,1628415,40,"","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","",""
12,2,86,1,11:03:00,Jackson Jr. BLOCK (1 BLK),"",MISS Satoransky 1' Turnaround Fadeaway Shot,"",,1,,,203107,57,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
14,4,0,1,10:58:00,"","",Satoransky REBOUND (Off:1 Def:0),"",,1,,,203107,62,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15,2,1,1,10:57:00,"","",MISS Porter Jr. 26' 3PT Jump Shot,"",,1,,,203490,63,"",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
16,4,0,1,10:54:00,Jackson Jr. REBOUND (Off:0 Def:1),"","",TRUE,missed.shot,1,,,1628991,66,"","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
