eventorder,eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,time.elapsed,is.end.of.possession,possession.end,possession.id,homedescription,visitordescription,score,scoremargin,player.1.id,neutraldescription,is.made.shot,is.missed.shot,is.free.throw,is.rebound,is.turnover,is.foul,is.violation,is.substitution,is.timeout,is.jump.ball,is.ejection,is.start.of.period,is.end.of.period,is.miss,is.shooting.foul,is.away.from.play.foul,is.inbound.foul,is.loose.ball.foul,is.team.rebound,is.defensive.rebound,is.missed.free.throw,is.1.of.1,is.2.of.2,is.3.of.3,is.technical,is.last.multi.free.throw,is.last.free.throw,is.last.free.throw.made,is.and.1,is.make.and.not.and.1,is.three,is.team.turnover
1,2,12,0,1,12:00:00,0,"",,1,"","",,,0,"","","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","",""
2,4,10,0,1,12:00:00,0,"",,1,Jump Ball Collins vs. Whiteside: Tip to Anthony,"",,,1628381,"","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",""
3,7,5,1,1,11:40:00,20,TRUE,turnover,1,Huerter STEAL (1 STL),Anthony Bad Pass Turnover (P1.T1),,,2546,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,9,5,2,1,11:34:00,26,TRUE,turnover,2,Hunter Lost Ball Turnover (P1.T1),Ariza STEAL (1 STL),,,1629631,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,11,2,6,1,11:20:00,40,"",,3,"",MISS Anthony 1' Driving Layup,,,2546,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
6,12,4,0,1,11:15:00,45,"",,3,"",Anthony REBOUND (Off:1 Def:0),,,2546,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,13,1,97,1,11:15:00,45,TRUE,made.shot,3,"",Anthony 1' Tip Layup Shot (2 PTS),2 - 0,-2,2546,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
8,14,1,100,1,11:11:00,49,TRUE,made.shot,4,Huerter 2' Running Alley Oop Layup Shot (2 PTS) (Reddish 1 AST),"",2 - 2,TIE,1628989,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
9,16,1,58,1,10:51:00,69,TRUE,made.shot,5,"",Whiteside 7' Turnaround Hook Shot (2 PTS),4 - 2,-2,202355,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
10,17,2,79,1,10:33:00,87,"",,6,MISS Hunter 16' Pullup Jump Shot,"",,,1629631,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
11,18,4,0,1,10:29:00,91,TRUE,missed.shot,6,"",Whiteside REBOUND (Off:0 Def:1),,,202355,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
12,19,2,78,1,10:16:00,104,"",,7,"",MISS Whiteside 14' Floating Jump Shot,,,202355,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
13,20,4,0,1,10:14:00,106,TRUE,missed.shot,7,Collins REBOUND (Off:0 Def:1),"",,,1628381,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
14,21,2,1,1,10:09:00,111,"",,8,MISS Huerter 27' 3PT Jump Shot,"",,,1628989,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
15,22,4,0,1,10:06:00,114,TRUE,missed.shot,8,"",Trail Blazers Rebound,,,1610612757,"","","","",TRUE,"","","","","","","","","","","","","","",TRUE,TRUE,"","","","","","","","","","","",""
16,24,5,45,1,09:49:00,131,TRUE,turnover,9,"",Anthony Out of Bounds - Bad Pass Turnover Turnover (P2.T2),,,2546,"","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
17,25,1,108,1,09:38:00,142,TRUE,made.shot,10,Collins 1' Cutting Dunk Shot (2 PTS) (Young 1 AST),"",4 - 4,TIE,1628381,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
18,27,2,101,1,09:25:00,155,"",,11,"",MISS Trent Jr. 7' Driving Floating Jump Shot,,,1629018,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
19,28,4,0,1,09:24:00,156,"",,11,"",Whiteside REBOUND (Off:1 Def:1),,,202355,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20,29,1,87,1,09:22:00,158,TRUE,made.shot,11,"",Whiteside 2' Putback Dunk (4 PTS),6 - 4,-2,202355,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
21,30,1,1,1,09:13:00,167,TRUE,made.shot,12,Reddish 25' 3PT Jump Shot (3 PTS) (Young 2 AST),"",6 - 7,1,1629629,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
22,33,2,79,1,08:47:00,193,"",,13,"",MISS McCollum 25' 3PT Pullup Jump Shot,,,203468,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
23,34,4,0,1,08:44:00,196,TRUE,missed.shot,13,Huerter REBOUND (Off:0 Def:1),"",,,1628989,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
24,35,2,41,1,08:39:00,201,"",,14,MISS Reddish 1' Running Layup,"",,,1629629,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
25,36,4,0,1,08:38:00,202,TRUE,missed.shot,14,"",Whiteside REBOUND (Off:1 Def:2),,,202355,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
26,37,1,41,1,08:34:00,206,"",,15,"",Ariza 2' Running Layup (2 PTS) (McCollum 1 AST),8 - 7,-1,2772,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"","",""
27,39,6,2,1,08:34:00,206,"",,15,Huerter S.FOUL (P1.T1) (N.Green),"",,,1628989,"","","","","","",TRUE,"","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",""
28,41,3,10,1,08:34:00,206,TRUE,last.ft.made,15,"",Ariza Free Throw 1 of 1 (3 PTS),9 - 7,-2,2772,"","","",TRUE,"","","","","","","","","","","","","","","","","","",TRUE,"","","","",TRUE,TRUE,"","","",""
29,42,2,1,1,08:22:00,218,"",,16,MISS Young 25' 3PT Jump Shot,"",,,1629027,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
30,43,4,0,1,08:19:00,221,TRUE,missed.shot,16,"",Trail Blazers Rebound,,,1610612757,"","","","",TRUE,"","","","","","","","","","","","","","",TRUE,TRUE,"","","","","","","","","","","",""
31,45,1,101,1,08:07:00,233,TRUE,made.shot,17,"",Trent Jr. 13' Driving Floating Jump Shot (2 PTS) (McCollum 2 AST),11 - 7,-4,1629018,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
32,47,6,1,1,07:55:00,245,"",,18,"",Trent Jr. P.FOUL (P1.T1) (B.Taylor),,,1629018,"","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
33,49,6,1,1,07:48:00,252,"",,18,"",Ariza P.FOUL (P1.T2) (K.Fitzgerald),,,2772,"","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
34,51,2,1,1,07:39:00,261,"",,18,MISS Hunter  3PT Jump Shot,"",,,1629631,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
35,52,4,0,1,07:37:00,263,TRUE,missed.shot,18,"",Whiteside REBOUND (Off:1 Def:3),,,202355,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
36,53,2,6,1,07:30:00,270,"",,19,"",MISS Anthony 3' Driving Layup,,,2546,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
37,54,4,0,1,07:27:00,273,TRUE,missed.shot,19,Collins REBOUND (Off:0 Def:2),"",,,1628381,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
38,55,2,1,1,07:20:00,280,"",,20,MISS Huerter 26' 3PT Jump Shot,"",,,1628989,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
39,56,4,0,1,07:17:00,283,TRUE,missed.shot,20,"",McCollum REBOUND (Off:0 Def:1),,,203468,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
40,57,2,41,1,07:14:00,286,"",,21,Huerter BLOCK (1 BLK),MISS Ariza 2' Running Layup,,,2772,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
41,59,4,0,1,07:09:00,291,TRUE,missed.shot,21,Young REBOUND (Off:0 Def:1),"",,,1629027,"","","","",TRUE,"","","","","","","","","","","","","","","",TRUE,"","","","","","","","","","","",""
42,60,1,2,1,07:05:00,295,TRUE,made.shot,22,Hunter  3PT Running Jump Shot (3 PTS) (Huerter 1 AST),"",11 - 10,-1,1629631,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,TRUE,""
43,67,9,1,1,07:03:00,297,"",,23,"",Trail Blazers Timeout: Regular (Reg.1 Short 0),,,1610612757,"","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","",""
44,68,6,11,1,07:03:00,297,"",,23,"","",,,1337,"","","","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","",""
45,69,3,16,1,07:03:00,297,"",,23,Young Free Throw Technical (1 PTS),"",11 - 11,TIE,1629027,"","","",TRUE,"","","","","","","","","","","","","","","","","","","","","",TRUE,"","","","","","",""
46,70,2,47,1,06:40:00,320,"",,23,Hunter BLOCK (1 BLK),MISS Anthony 15' Turnaround Jump Shot,,,2546,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
47,72,4,0,1,06:36:00,324,"",,23,"",Anthony REBOUND (Off:2 Def:0),,,2546,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
48,73,2,1,1,06:36:00,324,"",,23,"",MISS Anthony 20' Jump Shot,,,2546,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","","",""
49,74,4,0,1,06:36:00,324,"",,23,"",Whiteside REBOUND (Off:2 Def:3),,,202355,"","","","",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
50,75,1,97,1,06:31:00,329,TRUE,made.shot,23,"",Whiteside 1' Tip Layup Shot (6 PTS),13 - 11,-2,202355,"",TRUE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",TRUE,"",""
51,76,2,79,1,06:13:00,347,"",,24,MISS Young 29' 3PT Pullup Jump Shot,"",,,1629027,"","",TRUE,"","","","","","","","","","","",TRUE,"","","","","","","","","","","","","","","","",TRUE,""
