possession.id,period,how.possession.ended,team.with.ball,end.time,attempts.2p,makes.2p,attempts.3p,makes.3p,attempts.ft,makes.ft,points,defensive.fouls,offensive.rebounds,alternates
0,1,made.shot,away,13,2,1,0,0,0,0,2,0,1,
1,1,missed.shot,home,35,1,0,0,0,0,0,0,0,0,TRUE
2,1,missed.shot,away,45,1,0,0,0,0,0,0,0,0,TRUE
3,1,missed.shot,home,52,0,0,1,0,0,0,0,0,0,TRUE
4,1,missed.shot,away,64,1,0,0,0,0,0,0,0,0,TRUE
5,1,missed.shot,home,69,0,0,0,0,2,1,1,1,0,TRUE
6,1,made.shot,away,83,1,1,0,0,0,0,2,0,0,TRUE
7,1,made.shot,home,103,0,0,1,1,0,0,3,0,0,TRUE
8,1,made.shot,away,109,0,0,1,1,0,0,3,0,0,TRUE
9,1,turnover,home,116,0,0,0,0,0,0,0,1,0,TRUE
10,1,missed.shot,away,129,0,0,1,0,0,0,0,0,0,TRUE
11,1,turnover,home,131,0,0,0,0,0,0,0,0,0,TRUE
12,1,made.shot,away,141,0,0,1,1,0,0,3,0,0,TRUE
13,1,missed.shot,home,156,0,0,1,0,0,0,0,0,0,TRUE
14,1,missed.shot,away,166,1,0,0,0,0,0,0,0,0,TRUE
15,1,turnover,home,173,0,0,0,0,0,0,0,0,0,TRUE
16,1,made.shot,away,178,0,0,1,1,0,0,3,0,0,TRUE
17,1,turnover,home,192,0,0,0,0,0,0,0,0,0,TRUE
18,1,made.shot,away,206,1,1,0,0,0,0,2,0,0,TRUE
19,1,made.shot,home,217,1,1,0,0,0,0,2,0,0,TRUE
20,1,turnover,away,222,0,0,0,0,0,0,0,0,0,TRUE
21,1,missed.shot,home,233,0,0,1,0,0,0,0,0,0,TRUE
22,1,made.shot,away,243,1,1,0,0,0,0,2,0,0,TRUE
23,1,made.shot,home,268,0,0,1,1,0,0,3,0,0,TRUE
24,1,missed.shot,away,287,0,0,1,0,0,0,0,0,0,TRUE
25,1,made.shot,home,301,0,0,1,1,0,0,3,0,0,TRUE
26,1,missed.shot,away,318,0,0,1,0,0,0,0,0,0,TRUE
27,1,missed.shot,home,332,1,0,0,0,0,0,0,1,0,TRUE
28,1,made.shot,away,338,1,1,0,0,0,0,2,0,0,TRUE
29,1,made.shot,home,356,1,1,0,0,0,0,2,0,0,TRUE
30,1,turnover,away,366,0,0,0,0,0,0,0,0,0,TRUE
31,1,made.shot,home,375,2,1,0,0,0,0,2,0,1,TRUE
32,1,missed.shot,away,390,1,0,0,0,0,0,0,0,0,TRUE
33,1,made.shot,home,411,1,1,1,0,0,0,2,1,1,TRUE
34,1,missed.shot,away,428,0,0,1,0,0,0,0,0,0,TRUE
35,1,last.ft.made,home,447,0,0,0,0,2,2,2,2,0,TRUE
36,1,missed.shot,away,472,0,0,1,0,0,0,0,0,0,TRUE
37,1,turnover,home,473,0,0,0,0,0,0,0,1,0,TRUE
38,1,missed.shot,away,491,1,0,1,0,0,0,0,0,1,TRUE
