TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
,2124,Malik,Allen,Malik Allen,PF-C,80.25,6' 8.25'',,,271,86.5,7' 2.5'',109.0,9' 1'',,,
,12019,Harold,Arceneaux,Harold Arceneaux,SG-SF,76.5,6' 4.5'',,,219,80.5,6' 8.5'',103.0,8' 7'',,,
,12020,Lamont,Barnes,Lamont Barnes,PF-C,80.5,6' 8.5'',,,235.5,87.5,7' 3.5'',108.0,9' 0'',,,
,12131,Mario,Bland,Mario Bland,PF,77.5,6' 5.5'',,,287,84.0,7' 0'',103.0,8' 7'',,,
,2056,Primoz,Brezec,Primoz Brezec,C,84.75,7' 0.75'',,,243,86.0,7' 2'',110.0,9' 2'',,,
,2081,Ernest,Brown,Ernest Brown,C,82.0,6' 10'',,,222.5,85.25,7' 1.25'',109.5,9' 1.5'',,,
,2049,Speedy,Claxton,Speedy Claxton,PG,70.5,5' 10.5'',,,166,72.0,6' 0'',94.5,7' 10.5'',,,
,12132,Eric,Coley,Eric Coley,SG-SF,76.0,6' 4'',,,205,83.0,6' 11'',102.0,8' 6'',,,
,12133,Ed,Cota,Ed Cota,PG,72.25,6' 0.25'',,,189,76.0,6' 4'',96.5,8' 0.5'',,,
,12134,Schea,Cotton,Schea Cotton,SF,76.25,6' 4.25'',,,219.5,79.0,6' 7'',100.0,8' 4'',,,
,2037,Jamal,Crawford,Jamal Crawford,PG-SG,76.5,6' 4.5'',,,175,82.0,6' 10'',102.5,8' 6.5'',,,
,12017,Caswell,Cyrus,Caswell Cyrus,PF,79.75,6' 7.75'',,,220.5,86.0,7' 2'',107.5,8' 11.5'',,,
,2064,Khalid,El-Amin,Khalid El-Amin,PG,69.0,5' 9'',,,200,73.5,6' 1.5'',93.0,7' 9'',,,
,12018,Vassil,Evtimov,Vassil Evtimov,PF,81.75,6' 9.75'',,,262,82.5,6' 10.5'',106.5,8' 10.5'',,,
,2238,Antonis,Fotsis,Antonis Fotsis,SF,81.25,6' 9.25'',,,219,80.5,6' 8.5'',106.0,8' 10'',,,
,2109,Eddie,Gill,Eddie Gill,PG,71.75,5' 11.75'',,,176,76.0,6' 4'',93.0,7' 9'',,,
,12135,Ceedric,Goodwyn,Ceedric Goodwyn,SF-PF,78.0,6' 6'',,,238,82.0,6' 10'',104.5,8' 8.5'',,,
,12136,Marcus,Goree,Marcus Goree,SF-PF,79.5,6' 7.5'',,,239,84.5,7' 0.5'',105.5,8' 9.5'',,,
,12137,A.J.,Granger,A.J. Granger,SF,79.5,6' 7.5'',,,227,81.5,6' 9.5'',103.0,8' 7'',,,
,2062,A.J.,Guyton,A.J. Guyton,PG-SG,72.75,6' 0.75'',,,175,75.75,6' 3.75'',97.5,8' 1.5'',,,
,2110,Ron,Hale,Ron Hale,SG-SF,79.5,6' 7.5'',,,202,83.0,6' 11'',104.5,8' 8.5'',,,
,2078,Jason,Hart,Jason Hart,PG,73.75,6' 1.75'',,,181,78.0,6' 6'',97.5,8' 1.5'',,,
,2051,Donnell,Harvey,Donnell Harvey,PF,79.25,6' 7.25'',,,220,84.5,7' 0.5'',105.5,8' 9.5'',,,
