GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0020800830,0,12,0,1,5:08 PM,12:00,,,,,
0020800830,1,10,0,1,5:10 PM,12:00,Jump Ball Yao vs. Okafor: Tip to Felton,,,,
0020800830,2,2,1,1,5:11 PM,11:48,,,MISS Okafor 17' Jump Shot,,
0020800830,3,4,0,1,5:11 PM,11:46,Scola REBOUND (Off:0 Def:1),,,,
0020800830,4,2,47,1,5:11 PM,11:35,MISS Yao 10' Turnaround Jump Shot,,,,
0020800830,5,4,0,1,5:11 PM,11:34,,,Wallace REBOUND (Off:0 Def:1),,
0020800830,6,2,5,1,5:11 PM,11:17,Yao BLOCK (1 BLK),,MISS Okafor  Layup,,
0020800830,7,4,0,1,5:11 PM,11:15,World Peace REBOUND (Off:0 Def:1),,,,
0020800830,8,1,1,1,5:12 PM,10:56,Battier  3PT Jump Shot (3 PTS) (Brooks 1 AST),,,0 - 3,3
0020800830,9,6,1,1,5:12 PM,10:34,World Peace P.FOUL (P1.T1),,,,
0020800830,10,2,1,1,5:13 PM,10:28,,,MISS Diaw 24' 3PT Jump Shot,,
0020800830,11,4,0,1,5:13 PM,10:26,,,Okafor REBOUND (Off:1 Def:0),,
0020800830,12,2,1,1,5:13 PM,10:22,,,MISS Bell 26' 3PT Jump Shot,,
0020800830,13,4,0,1,5:13 PM,10:21,,,Bobcats Rebound,,
0020800830,14,1,47,1,5:13 PM,10:16,,,Diaw 9' Turnaround Jump Shot (2 PTS) (Felton 1 AST),2 - 3,1
0020800830,15,2,5,1,5:13 PM,10:02,MISS Brooks  Layup,,,,
0020800830,16,4,0,1,5:13 PM,10:01,,,Okafor REBOUND (Off:1 Def:1),,
0020800830,17,5,1,1,5:13 PM,9:58,Scola STEAL (1 STL),,Okafor Bad Pass Turnover (P1.T1),,
0020800830,18,1,1,1,5:13 PM,9:55,Brooks 22' Jump Shot (2 PTS) (Scola 1 AST),,,2 - 5,3
0020800830,19,2,5,1,5:14 PM,9:38,,,MISS Wallace  Layup,,
0020800830,20,4,0,1,5:14 PM,9:36,Yao REBOUND (Off:0 Def:1),,,,
0020800830,21,5,1,1,5:14 PM,9:34,Yao Bad Pass Turnover (P1.T1),,Felton STEAL (1 STL),,
0020800830,22,1,1,1,5:14 PM,9:23,,,Felton 26' 3PT Jump Shot (3 PTS) (Diaw 1 AST),5 - 5,TIE
0020800830,23,1,3,1,5:14 PM,9:06,Yao 10' Hook Shot (2 PTS) (World Peace 1 AST),,,5 - 7,2
0020800830,24,2,1,1,5:15 PM,8:47,,,MISS Wallace 4' Jump Shot,,
0020800830,25,4,0,1,5:15 PM,8:45,Scola REBOUND (Off:0 Def:2),,,,
0020800830,26,5,1,1,5:15 PM,8:39,Scola Bad Pass Turnover (P1.T2),,Okafor STEAL (1 STL),,
0020800830,27,2,1,1,5:15 PM,8:29,,,MISS Diaw 5' Jump Shot,,
0020800830,28,4,0,1,5:15 PM,8:28,World Peace REBOUND (Off:0 Def:2),,,,
0020800830,29,2,1,1,5:15 PM,8:21,MISS World Peace 27' 3PT Jump Shot,,,,
0020800830,30,4,0,1,5:15 PM,8:20,,,Bell REBOUND (Off:0 Def:1),,
0020800830,31,5,1,1,5:15 PM,8:10,Battier STEAL (1 STL),,Diaw Bad Pass Turnover (P1.T2),,
0020800830,32,2,1,1,5:15 PM,7:54,MISS Battier 25' 3PT Jump Shot,,,,
0020800830,33,4,0,1,5:16 PM,7:53,Scola REBOUND (Off:1 Def:2),,,,
0020800830,34,1,58,1,5:16 PM,7:41,Yao 8' Turnaround Hook Shot (4 PTS),,,5 - 9,4
0020800830,35,1,79,1,5:16 PM,7:18,,,Bell 12' Pullup Jump Shot (2 PTS),7 - 9,2
0020800830,36,1,63,1,5:16 PM,6:58,World Peace 19' Fadeaway Jumper (2 PTS) (Yao 1 AST),,,7 - 11,4
0020800830,37,1,42,1,5:17 PM,6:40,,,Felton  Driving Layup (5 PTS),9 - 11,2
0020800830,38,1,42,1,5:17 PM,6:26,World Peace  Driving Layup (4 PTS),,,9 - 13,4
0020800830,39,1,8,1,5:17 PM,6:06,,,Okafor  Slam Dunk (2 PTS) (Wallace 1 AST),11 - 13,2
0020800830,40,6,2,1,5:17 PM,6:00,,,Wallace S.FOUL (P1.T1),,
0020800830,41,3,11,1,5:18 PM,6:00,MISS World Peace Free Throw 1 of 2,,,,
0020800830,42,4,1,1,5:18 PM,6:00,ROCKETS Rebound,,,,
0020800830,43,3,12,1,5:18 PM,6:00,World Peace Free Throw 2 of 2 (5 PTS),,,11 - 14,3
0020800830,45,9,1,1,5:18 PM,5:57,,,Bobcats Timeout: Regular (Reg.1 Short 0),,
0020800830,47,2,1,1,5:22 PM,5:50,,,MISS Diaw 26' 3PT Jump Shot,,
0020800830,48,4,0,1,5:22 PM,5:49,Scola REBOUND (Off:1 Def:3),,,,
0020800830,49,2,5,1,5:22 PM,5:27,MISS Scola  Layup,,Bell BLOCK (1 BLK),,
